Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
Tata Power  Add to Watchlist  Add to Portfolio,232.65,-2.23,298.05,121.7,74339.57
BPCL  Add to Watchlist  Add to Portfolio,338.25,-2.54,503,293.35,73374.97
SRF  Add to Watchlist  Add to Portfolio,2455.1,-2.55,2773.35,1743.01,72775.26
TATA Cons. Prod  Add to Watchlist  Add to Portfolio,786.95,-2.59,889,650.2,72521.51
Dr Reddys Labs  Add to Watchlist  Add to Portfolio,4204,-0.5,5077,3654,69974.93
Bharat Elec  Add to Watchlist  Add to Portfolio,285.1,-1.26,295.7,169.15,69467.26
Berger Paints  Add to Watchlist  Add to Portfolio,697.1,-1.42,856.95,543.6,67712.76
Marico  Add to Watchlist  Add to Portfolio,515.95,0.52,607.7,455.65,66708.56
FSN E-Co Nykaa  Add to Watchlist  Add to Portfolio,1399.25,0.85,2573.7,1125,66371.02
Varun Beverages  Add to Watchlist  Add to Portfolio,988.15,-5.07,1084.15,524.7,64185.25
Chola Invest.  Add to Watchlist  Add to Portfolio,777.8,-0.5,801,469.25,63900.22
ICICI Lombard Add to Watchlist  Add to Portfolio,1289.3,-2.82,1675,1071,63314.62
Tata Elxsi  Add to Watchlist  Add to Portfolio,10138.75,-4.48,10760,4601.1,63140.53
Bank of Baroda  Add to Watchlist  Add to Portfolio,120.35,-2.87,127,72.5,62237.34
Bajaj Holdings  Add to Watchlist  Add to Portfolio,5500.75,-0.55,6598,4051,61219.78
ABB India  Add to Watchlist  Add to Portfolio,2888.35,-0.07,2935,1624.35,61206.56
Apollo Hospital  Add to Watchlist  Add to Portfolio,4135.35,-3.08,5935.4,3361.55,59459.99
IRCTC  Add to Watchlist  Add to Portfolio,735.15,2.94,1279.26,507.11,58812
GAIL  Add to Watchlist  Add to Portfolio,133.15,-1.81,173.5,125.2,58364.97
Mindtree  Add to Watchlist  Add to Portfolio,3520.7,-0.36,5060,2649.2,58065.25
MOTHERSON  Add to Watchlist  Add to Portfolio,128.15,-2.51,257.8,112,57893.23
UPL  Add to Watchlist  Add to Portfolio,768.25,-0.74,848,607.5,57665.43
United Spirits  Add to Watchlist  Add to Portfolio,792,-2.02,1019.95,675.55,57549.79
Info Edge  Add to Watchlist  Add to Portfolio,4454.45,-0.28,7465.4,3313,57455.33
Hero Motocorp  Add to Watchlist  Add to Portfolio,2838.65,-2.39,2954.45,2146.85,56722.54
Page Industries  Add to Watchlist  Add to Portfolio,50031.95,-0.02,50624.15,30200,55805.01
INDUS TOWERS  Add to Watchlist  Add to Portfolio,196.7,-1.23,332.8,181.2,53009.41
Macrotech Dev  Add to Watchlist  Add to Portfolio,1096.2,-1.91,1539,801,52794.47
Zomato  Add to Watchlist  Add to Portfolio,61.45,-8.42,169,40.6,52531.98
Torrent Pharma  Add to Watchlist  Add to Portfolio,1542.75,-1.17,1649.25,1242.08,52213.67
JSW Energy  Add to Watchlist  Add to Portfolio,316.2,-3.27,408,182.05,51984.28
Bosch  Add to Watchlist  Add to Portfolio,17376.4,-1.3,19250,12932.45,51249.33
PI Industries  Add to Watchlist  Add to Portfolio,3320.65,-3,3534.9,2333.55,50380.28
